"Code.U2A","Libellé.U2A","Action.menée","Adresse","latitude","longitude","result_address","result_score","result_type","result_id","Code.INSEE","Code.Postal","Commune","Departement","Region","Statut","Altitude.Moyenne","Superficie","Population","geo_point_2d","geo_shape","ID.Geogla","Code.Commune","Code.Canton","Code.Arrondissement","Code.Departement","Code.Region","lat","long"
"E6201","Entrepôt de Saint Omer","Entrepôt pour aide matérielle","Entrepôt Gillias   62500 Saint Omer",50.751346,2.256874,"Rue Allent 62500 Saint-Omer",0.5,"street","62765_0070_6e079e","62765","62500","SAINT-OMER","PAS-DE-CALAIS","NORD-PAS-DE-CALAIS","Sous-préfecture",4,1649,14.9,"50.7679781717, 2.26334881482","{""type"": ""Polygon"", ""coordinates"": [[[2.278562098201051, 50.746384165648315], [2.268300447505937, 50.74693443021415], [2.252471442516025, 50.73954514678902], [2.252422579179136, 50.742820082006304], [2.244496102575091, 50.74703447606332], [2.247187606665668, 50.757100643563675], [2.236709242720883, 50.768917019430134], [2.244852108298518, 50.772205865260894], [2.243984595419058, 50.7753051884464], [2.231805272424251, 50.78513653603126], [2.228733972351128, 50.79155989172123], [2.242758076369487, 50.796518006891965], [2.254833063864512, 50.78803102090371], [2.27368595239862, 50.7832343637269], [2.287618482291464, 50.78681414320866], [2.288578360533586, 50.77703945553908], [2.284908951038308, 50.76841355672782], [2.298152967046679, 50.76434346357549], [2.297253125415559, 50.75587691891995], [2.289011031057015, 50.75952697721809], [2.290879102072798, 50.75048387400624], [2.278562098201051, 50.746384165648315]]]}",7337,765,99,5,"62",31,50.7679781717,2.26334881482
"E6202","Entrepôt de Lens","Entrepôt pour aide matérielle","  176 avenue Van Pelt 62300 Lens",50.430654,2.845914,"176 Avenue Alfred Van Pelt 62300 Lens",0.76,"housenumber","62498_0090_e5aa1a","62771","62430","SALLAUMINES","PAS-DE-CALAIS","NORD-PAS-DE-CALAIS","Commune simple",42,386,10.2,"50.4204336349, 2.85999934529","{""type"": ""Polygon"", ""coordinates"": [[[2.887301348976414, 50.41872130447672], [2.878257769405465, 50.41668390870168], [2.86881981448301, 50.40990549583899], [2.859138459606951, 50.41072073803991], [2.850811605459502, 50.41420307378434], [2.846499191385336, 50.4232107656776], [2.841830547917372, 50.4243180277215], [2.840401585094207, 50.42738631674514], [2.851399859117166, 50.43389931282327], [2.867299661143711, 50.421717732654045], [2.887369396584277, 50.41970884209881], [2.887301348976414, 50.41872130447672]]]}",712,771,31,7,"62",31,50.4204336349,2.85999934529
"E7001","Entrepôt des alliés Vesoul","Entrepôt pour aide matérielle","78 bd des Alliés   70000 Vesoul",47.618972,6.165417,"78 Boulevard des Alliés 70000 Vesoul",0.71,"housenumber","70550_0040_dba377","70550","70000","VESOUL","HAUTE-SAONE","FRANCHE-COMTE","Préfecture",234,908,15.9,"47.6320408648, 6.1548458149","{""type"": ""Polygon"", ""coordinates"": [[[6.150779890823375, 47.613187935608806], [6.146274945671541, 47.61450756050925], [6.147271964853384, 47.61763356230539], [6.133567514669473, 47.62951467883121], [6.130510489486688, 47.63623564551262], [6.147180545200786, 47.64657924815823], [6.164940383863178, 47.651810478986434], [6.173962585925522, 47.638314554659146], [6.169230457380796, 47.61699436693646], [6.167410896126611, 47.61484572606458], [6.150779890823375, 47.613187935608806]]]}",18882,550,96,2,"70",43,47.6320408648,6.1548458149
"E7301","Entrepôt dept. Savoie","Entrepôt pour aide matérielle","4 rue Alice Eynard   73100 Aix-les-Bains",45.694196,5.903178,"4 Rue Alice Eynard 73100 Aix-les-Bains",0.92,"housenumber","73008_0060_066709","73008","73100","AIX-LES-BAINS","SAVOIE","RHONE-ALPES","Chef-lieu canton",281,1578,26.8,"45.6978541675, 5.90388626955","{""type"": ""Polygon"", ""coordinates"": [[[5.907056344058809, 45.664791586848274], [5.90661234806343, 45.66490217249049], [5.902225634494912, 45.6895701193679], [5.898531688467353, 45.69145842655106], [5.89038459636814, 45.68859510260386], [5.875042632472435, 45.68926715651366], [5.871970483077103, 45.713548585013754], [5.898863692313739, 45.71619388293071], [5.907207599284967, 45.723692287635416], [5.913366215873764, 45.711413443689], [5.922787212028292, 45.71079096266021], [5.935855540398272, 45.702557454946955], [5.934865521293098, 45.69723067543277], [5.919284193250489, 45.68025337898506], [5.920855900150108, 45.673499423699106], [5.907056344058809, 45.664791586848274]]]}",20895,8,97,2,"73",82,45.6978541675,5.90388626955
"E7701","Entrepôt de Limoges Fourches","Entrepôt pour aide matérielle","Rue de Bougainville prolongée   77550 Limoges Fourches",48.626049,2.682126,"Rue de Bougainville 77550 Limoges-Fourches",0.73,"street","77252_0020_58c967","77252","77550","LIMOGES-FOURCHES","SEINE-ET-MARNE","ILE-DE-FRANCE","Commune simple",93,800,0.5,"48.6265916189, 2.66952295413","{""type"": ""Polygon"", ""coordinates"": [[[2.685319749279792, 48.61106341083745], [2.663498085205199, 48.6145838262102], [2.656748437259034, 48.61984471623975], [2.637198869013361, 48.623618692608645], [2.64249007742568, 48.629643411253156], [2.65562824733271, 48.63544793643756], [2.680569675929177, 48.64034772842434], [2.694995919394673, 48.63594201263084], [2.68860185062362, 48.627137327358874], [2.685319749279792, 48.61106341083745]]]}",30257,252,2,2,"77",11,48.6265916189,2.66952295413
"E7801","A DEFINIR","Centre de Distribution Alimentaire","9 rue du général Exelmans   78140 VELIZY VILLACOUBLAY",48.781258,2.201203,"9 Rue du Général Exelmans 78140 Vélizy-Villacoublay",0.92,"housenumber","78640_0229_baadf9","78640","78140","VELIZY-VILLACOUBLAY","YVELINES","ILE-DE-FRANCE","Chef-lieu canton",163,896,19.9,"48.783985823, 2.19707485523","{""type"": ""Polygon"", ""coordinates"": [[[2.226559327154523, 48.776102031621754], [2.227194111178189, 48.77275126727675], [2.22289395631917, 48.770933501506136], [2.207691001210414, 48.770284977057116], [2.200753095195283, 48.7746190021668], [2.190662977044721, 48.775036764245655], [2.161929188683613, 48.78223199211193], [2.168168048617256, 48.787870032204715], [2.182939877099866, 48.7972269838604], [2.20263504508016, 48.79840332310286], [2.209148286393868, 48.79354478830364], [2.210036359274815, 48.787038868360035], [2.224189672860684, 48.784460316378215], [2.226627708148487, 48.78158897384748], [2.226559327154523, 48.776102031621754]]]}",17394,640,37,4,"78",11,48.783985823,2.19707485523
"E7802","Entrepôt de Velizy","Entrepôt pour aide matérielle","9 rue du Général Exelmans   78140 VELIZY VILLACOUBLAY",48.781258,2.201203,"9 Rue du Général Exelmans 78140 Vélizy-Villacoublay",0.92,"housenumber","78640_0229_baadf9","78640","78140","VELIZY-VILLACOUBLAY","YVELINES","ILE-DE-FRANCE","Chef-lieu canton",163,896,19.9,"48.783985823, 2.19707485523","{""type"": ""Polygon"", ""coordinates"": [[[2.226559327154523, 48.776102031621754], [2.227194111178189, 48.77275126727675], [2.22289395631917, 48.770933501506136], [2.207691001210414, 48.770284977057116], [2.200753095195283, 48.7746190021668], [2.190662977044721, 48.775036764245655], [2.161929188683613, 48.78223199211193], [2.168168048617256, 48.787870032204715], [2.182939877099866, 48.7972269838604], [2.20263504508016, 48.79840332310286], [2.209148286393868, 48.79354478830364], [2.210036359274815, 48.787038868360035], [2.224189672860684, 48.784460316378215], [2.226627708148487, 48.78158897384748], [2.226559327154523, 48.776102031621754]]]}",17394,640,37,4,"78",11,48.783985823,2.19707485523
"E8201","Entrepôt Montauban","Entrepôt pour aide matérielle","830 Bd Blaise Doumerc   82000 MONTAUBAN",44.019372,1.362834,"830 Boulevard Blaise Doumerc 82000 Montauban",0.76,"housenumber","82121_0830_1f3020","82121","82000","MONTAUBAN","TARN-ET-GARONNE","MIDI-PYRENEES","Préfecture",102,13591,56.1,"44.0222594578, 1.36408636501","{""type"": ""Polygon"", ""coordinates"": [[[1.402326781738717, 43.95397936130679], [1.394458235595264, 43.95242380527209], [1.36623954741655, 43.96404975617581], [1.361578650115105, 43.963610924511485], [1.361723984016451, 43.956816865688275], [1.355186805053358, 43.95232588714841], [1.354540182144012, 43.953576379562094], [1.341981907668661, 43.96808633384535], [1.340241718910807, 43.97477523011716], [1.322472677892536, 43.97075027145179], [1.300632601283136, 43.97711032689658], [1.291807911416637, 43.974578301589084], [1.290017365594734, 43.97775498461622], [1.311238872950129, 43.99148864875245], [1.311065170285175, 43.99819241210957], [1.303347801236187, 44.0023219021574], [1.299302463536421, 44.01208929623248], [1.303580700926944, 44.021310830660234], [1.291450989364091, 44.02683844607545], [1.289824013170335, 44.033654682303435], [1.287567625223363, 44.04976941223419], [1.290511679821783, 44.0523180617464], [1.286648384969957, 44.05833422204795], [1.30445727161696, 44.06940524599692], [1.31302515355888, 44.08153770261667], [1.312034832736634, 44.08840027318321], [1.315638729597751, 44.08648422488252], [1.320480947877392, 44.09168994370651], [1.328556822692881, 44.08890569633917], [1.345397018047688, 44.09050271331589], [1.348682595227636, 44.081874063748884], [1.355217491327395, 44.07829947079127], [1.367539282096582, 44.07319952814117], [1.385952582779407, 44.07687528562689], [1.401320614998837, 44.08501359946296], [1.405895522081716, 44.08398201221097], [1.415270714107075, 44.075151942024874], [1.425692777388051, 44.05996278224882], [1.426282367650898, 44.053084741208494], [1.421693003241373, 44.047086378845904], [1.425777421252841, 44.03387638844418], [1.433324704736685, 44.02123811388591], [1.439963054694551, 43.997487426204614], [1.435531722694413, 43.99129400781717], [1.442567996244116, 43.982473863671025], [1.423890753670218, 43.979856817805604], [1.419980168095034, 43.9702767036951], [1.402326781738717, 43.95397936130679]]]}",10496,121,99,2,"82",73,44.0222594578,1.36408636501
"E8202","Entrepôt de Moissac","Entrepôt pour aide matérielle","  8 Rue Daubasse 82200 Moissac",44.102185,1.088908,"8 Rue Daubasse 82200 Moissac",0.92,"housenumber","82112_1290_e6b2bb","82112","82200","MOISSAC","TARN-ET-GARONNE","MIDI-PYRENEES","Chef-lieu canton",113,8604,12.2,"44.1262518079, 1.09834758014","{""type"": ""Polygon"", ""coordinates"": [[[1.156166925349573, 44.113094012083415], [1.151031587297726, 44.10000727986476], [1.119306869246217, 44.09182376520575], [1.093620275902733, 44.076281779739666], [1.065988951026478, 44.079803612089734], [1.056059111551218, 44.08714535668819], [1.047279275305997, 44.087475346141275], [1.049797548974657, 44.0938133878319], [1.037039912036285, 44.10367808724148], [1.026481520407223, 44.11882098572238], [1.035398568524208, 44.12153814185957], [1.040984523727764, 44.12700410158693], [1.049837490167861, 44.14294480954798], [1.03209754156854, 44.15480947049098], [1.018038522735863, 44.155600668491424], [1.008863596773017, 44.16297043181611], [1.036952097647841, 44.16850075690511], [1.062681284065566, 44.159360577331285], [1.069334608683136, 44.16451981620821], [1.088279409579445, 44.1679938515852], [1.09768098168037, 44.16626661322166], [1.1123927091617, 44.157157382579456], [1.112420270064438, 44.15369160573898], [1.125974421186746, 44.15107907513232], [1.139383684882949, 44.153999377331324], [1.15047604884431, 44.14783982425256], [1.157515188600882, 44.15132549644052], [1.158029777092499, 44.15821252869834], [1.166771782848625, 44.1609159017516], [1.185614075783737, 44.1583302579549], [1.193117977836043, 44.1543847776474], [1.17830973550667, 44.14158053759277], [1.17966908678925, 44.131924911924585], [1.167072027739928, 44.12795174849208], [1.16281349405792, 44.11545637728596], [1.156166925349573, 44.113094012083415]]]}",7923,112,98,1,"82",73,44.1262518079,1.09834758014
"E8801","Entrepôt dept. des Vosges","Entrepôt pour aide matérielle","115 rue Neuve Grange Saint-Laurent  88000 EPINAL",48.14637,6.46304,"115 Rue Neuve Grange 88000 Épinal",0.66,"housenumber","88160_XXXX_3bc805","88134","88000","DINOZE","VOSGES","LORRAINE","Commune simple",379,289,0.5,"48.1386457778, 6.48137889563","{""type"": ""Polygon"", ""coordinates"": [[[6.465475746045746, 48.13204627157107], [6.460547832764423, 48.135280430685384], [6.467928960271331, 48.144205606921304], [6.482582254678657, 48.14212542566025], [6.496172863611402, 48.146776181196095], [6.509628987425787, 48.14187285497337], [6.505570425991286, 48.13993095966743], [6.496727035237385, 48.14294975143337], [6.48952383349082, 48.13230961164086], [6.465475746045746, 48.13204627157107]]]}",23257,134,12,1,"88",41,48.1386457778,6.48137889563
"E9001","Entrepôt de Belfort","Entrepôt pour aide matérielle","15 Av sarail   90000 BELFORT",47.635423,6.861775,"15 Avenue du Général Sarrail 90000 Belfort",0.55,"housenumber","90010_1790_795406","90010","90000","BELFORT","TERRITOIRE DE BELFORT","FRANCHE-COMTE","Préfecture",412,1708,50.2,"47.6471539414, 6.84541206237","{""type"": ""Polygon"", ""coordinates"": [[[6.847257635033876, 47.621796395667666], [6.834881502346893, 47.635054348284534], [6.827050002870918, 47.645755752041744], [6.818382731164681, 47.646508123066326], [6.825859382540473, 47.65053482517656], [6.83518366346709, 47.64982342212673], [6.834269471494179, 47.656026344568325], [6.810634846653434, 47.65266372421522], [6.798230393003832, 47.650211263137436], [6.791296787344018, 47.654915207888976], [6.791983901331297, 47.6582000384067], [6.807669446494338, 47.66604319205584], [6.830833137026732, 47.6707557135873], [6.835594392674068, 47.66202054691771], [6.850137418939275, 47.66095627504137], [6.875782106620759, 47.65059162105264], [6.894142437104102, 47.65472998969799], [6.888013852005237, 47.646228763975735], [6.876891233579797, 47.63264830923475], [6.878617945233787, 47.6296260363182], [6.847257635033876, 47.621796395667666]]]}",12614,10,99,1,"90",43,47.6471539414,6.84541206237
"E9403","Entrepôt de Limeil Brevannes","Entrepôt pour aide matérielle","  2 RUE ALBERT GARRY 94450 LIMEIL BREVANNES",48.754182,2.477818,"2 Rue Albert Garry 94450 Limeil-Brévannes",0.92,"housenumber","94044_XXXX_b553d9","94074","94460","VALENTON","VAL-DE-MARNE","ILE-DE-FRANCE","Chef-lieu canton",48,531,12.2,"48.752872402, 2.46129479573","{""type"": ""Polygon"", ""coordinates"": [[[2.472978586691335, 48.72757015586587], [2.471230822690982, 48.73771709503522], [2.462081323818802, 48.74015865873284], [2.450870605872155, 48.75877074598695], [2.442551918007305, 48.761961124587756], [2.435570211859142, 48.76723489590301], [2.442927277322039, 48.77140673297802], [2.466568851063951, 48.76546160118295], [2.468329082369069, 48.762285519633664], [2.468064418955474, 48.75221083303292], [2.472595858349036, 48.75066593410956], [2.47460080017612, 48.74065513466541], [2.484547064037293, 48.72907777269324], [2.475371106486753, 48.72759868522589], [2.472978586691335, 48.72757015586587]]]}",35681,74,47,1,"94",11,48.752872402,2.46129479573
"E9501","Entrepôt dept. Val d'Oise","Entrepôt pour aide matérielle","1 BIS, Rue HENRI DUNANT   95460 EZANVILLE",49.035022,2.342539,"1BIS Rue Henri Dunant 95460 Ézanville",0.84,"housenumber","95229_0249_85a0cd","95409","95570","MOISSELLES","VAL-D'OISE","ILE-DE-FRANCE","Commune simple",91,149,1.2,"49.0459598728, 2.33744939306","{""type"": ""Polygon"", ""coordinates"": [[[2.340479931674323, 49.03843941450032], [2.337726920138061, 49.044107197152506], [2.324541720830555, 49.045085834562954], [2.321950768254383, 49.050754142214906], [2.335293520600364, 49.051476127681326], [2.351985943105786, 49.04472448656872], [2.351719170161092, 49.04198949432898], [2.340479931674323, 49.03843941450032]]]}",22729,409,6,2,"95",11,49.0459598728,2.33744939306
"U01","DD de l'Ain","Distribution de chèques","3 rue Henri Dunant   1000 BOURG EN BRESSE",46.212381,5.228761,"3 Rue Henri Dunant 01000 Bourg-en-Bresse",0.86,"housenumber","01053_1860_9b4ea4","1053","1000","BOURG-EN-BRESSE","AIN","RHONE-ALPES","Préfecture",239,2400,39.6,"46.2051520382, 5.24602125501","{""type"": ""Polygon"", ""coordinates"": [[[5.256739653622479, 46.176140043712714], [5.23716312569385, 46.175941581632486], [5.234440771125423, 46.18232808804288], [5.221684122718247, 46.192055022543386], [5.206996949888455, 46.19132318845536], [5.210899046412501, 46.211209893866105], [5.215885446042929, 46.2119416029869], [5.217960376609742, 46.222170698097976], [5.224836605872274, 46.22722522713482], [5.245153212489166, 46.227618759025226], [5.259098068751391, 46.22363114702096], [5.272710900939183, 46.22826959986789], [5.287225820362988, 46.225852623795255], [5.282051687415889, 46.21163290880167], [5.274198590886567, 46.20844806531691], [5.274336847479696, 46.193644219213326], [5.254545009976062, 46.17921947833049], [5.256739653622479, 46.176140043712714]]]}",5244,53,99,2,"1",82,46.2051520382,5.24602125501
